Ch.,B,A,x0,y0,Ra,Dec,FWHMx,FWHMy,Mag,Beta,r,Angle,RMSE
0,0.0264566,0.136492,3448.84,2155.77,265.108,-32.1199,4.6287,4.27089,-0.571076,-1,0.922697,-81.362,0.00144352
0,0.0263845,0.119636,3268.62,2254.68,265.156,-32.233,4.9675,4.47402,-0.564625,-1,0.900657,85.967,0.00123248
0,0.0263836,0.12839,3317.55,2183.82,265.113,-32.1985,4.72221,4.33255,-0.559462,-1,0.917484,88.1338,0.00128046
0,0.0260464,0.0634185,2824.18,2781.99,265.471,-32.5358,8.27317,7.7785,-0.556296,-1,0.940208,-8.36619,0.00557778
0,0.0262904,0.122602,2903.72,1940.83,264.904,-32.4163,4.72206,4.33885,-0.53998,-1,0.918846,88.6767,0.00131805
0,0.0265301,0.132605,3617.97,2272.39,265.205,-32.0321,3.90275,3.86838,-0.52815,-1,0.991194,-8.02385,0.00279998
0,0.0271396,0.102211,3377.53,1751.85,264.825,-32.1252,3.23057,2.93274,-0.524091,-1,0.90781,-76.3633,0.0077765
0,0.0265262,0.108604,3202.96,2670.76,265.434,-32.3072,3.99338,3.32062,-0.513258,-1,0.831533,49.5021,0.00419563
0,0.0261216,0.0737148,3013.89,2376.88,265.213,-32.3912,6.33112,4.87661,-0.49925,-1,0.77026,-27.215,0.00251577
0,0.0261732,0.104646,2668.75,2229.43,265.076,-32.5776,4.77055,4.4701,-0.491837,-1,0.93702,-79.7177,0.00110368
0,0.0261859,0.106022,3635.75,2033.61,265.044,-32.0007,4.77927,4.37814,-0.489385,-1,0.916068,-85.9625,0.00112798
0,0.0265272,0.114379,3349.06,2618.28,265.413,-32.2181,4.00087,3.84878,-0.486093,-1,0.961985,-89.1426,0.00264035
0,0.0262218,0.108742,3483.29,2143.62,265.103,-32.0989,4.72013,4.27182,-0.484516,-1,0.905022,-83.865,0.00107816
0,0.0262173,0.104966,3005.79,2000.51,264.955,-32.3626,4.75478,4.38523,-0.484165,-1,0.922279,-83.9054,0.001063
0,0.0261619,0.0942633,3685.43,2165.23,265.139,-31.9835,5.28824,4.65448,-0.480528,-1,0.880156,-51.5774,0.00147111
0,0.0262495,0.106642,2996.38,2209.85,265.097,-32.3866,4.71278,4.2319,-0.473146,-1,0.897963,-86.2828,0.00113979
0,0.0260442,0.0473719,3657.2,2054.62,265.061,-31.9901,3.58342,3.58157,-0.470664,-1,0.999485,-74.9834,0.0064764
0,0.0261563,0.103432,2788.74,2191.81,265.063,-32.505,4.69508,4.29039,-0.464878,-1,0.913805,-86.087,0.00111051
0,0.0261802,0.0990592,3022.68,2514.71,265.309,-32.3981,4.75454,4.41574,-0.46421,-1,0.92874,-85.0284,0.00102556
0,0.0259602,0.0591072,3509.87,2079.22,265.062,-32.0777,6.52461,6.51833,-0.463047,-1,0.999037,-80.6235,0.00316186
0,0.0303512,0.115777,3137.56,2149.83,265.071,-32.2997,4.38457,4.04182,-0.459129,-1,0.921827,88.5665,0.0146801
0,0.0264526,0.100461,3057.42,1830.73,264.845,-32.3175,4.66747,4.25941,-0.449648,-1,0.912575,-84.8421,0.00180664
0,0.0262025,0.097282,3275.58,2421.87,265.271,-32.2436,4.71854,4.32555,-0.447321,-1,0.916714,84.9753,0.000983032
0,0.0260212,0.0575697,3226.32,2510.1,265.327,-32.2798,7.39169,5.68128,-0.441141,-1,0.768604,-89.0193,0.00287985
0,0.0261016,0.0793358,2656.43,2142.23,265.015,-32.577,3.95624,3.44268,-0.432635,-1,0.870188,-71.4694,0.00338152
0,0.0259976,0.0904126,3576.78,2802.73,265.563,-32.1018,4.6695,4.29618,-0.414967,-1,0.920053,85.8721,0.000948651
0,0.0258863,0.0866256,2846.78,1671.98,264.714,-32.4249,4.67024,4.3482,-0.404713,-1,0.931045,-81.3618,0.00092609
0,0.0259552,0.0848943,2962.09,1938.72,264.908,-32.3823,4.42342,4.42342,-0.38536,-1,1,-19.5006,0.00102278
0,0.026945,0.0804525,3325.82,1669.4,264.763,-32.1477,5.29257,4.54555,-0.375492,-1,0.858855,-56.6998,0.00421554
0,0.0257134,0.0508609,2647.91,2033.15,264.94,-32.5722,7.30414,6.10993,-0.374668,-1,0.836502,-33.2948,0.00288429
0,0.0259728,0.0718149,3507.72,1856.49,264.91,-32.0591,4.8917,4.56625,-0.374393,-1,0.933469,82.8169,0.000800902
0,0.0259158,0.0787535,3165.26,2246,265.14,-32.2921,4.71995,4.23013,-0.367976,-1,0.896223,-86.2121,0.000820786
0,0.0259649,0.0789404,2917.99,2511.32,265.295,-32.4583,4.62617,4.27529,-0.366181,-1,0.924152,89.6093,0.000875135
0,0.025881,0.0759362,2769.56,2350.53,265.17,-32.53,4.69695,4.28729,-0.359576,-1,0.912781,88.7601,0.000818651
0,0.0292825,0.0639668,3291.37,2010.5,264.992,-32.1983,7.43528,7.15036,-0.354996,-1,0.96168,-2.66869,0.0060406
0,0.0266617,0.0721591,3091.62,1919.53,264.909,-32.3057,4.72745,4.33651,-0.349592,-1,0.917305,-86.7618,0.000851379
0,0.0259183,0.0717909,3496.69,2677.89,265.469,-32.1376,4.72091,4.33287,-0.3474,-1,0.917804,86.5699,0.000817032
0,0.0260457,0.0825512,3707,2772.44,265.555,-32.0236,3.22971,3.16454,-0.345394,-1,0.979822,0.74649,0.00285406
0,0.0257621,0.0456392,2766.34,2691.56,265.403,-32.5615,6.72812,6.55766,-0.341326,-1,0.974664,-7.53183,0.00231514
0,0.0252487,0.0263678,2873.34,2215,265.088,-32.4582,9.94462,5.70593,-0.341269,-1,0.57377,-15.2742,0.0022917
0,0.0259951,0.0695319,3229.75,2215.88,265.126,-32.2521,4.75895,4.30499,-0.338582,-1,0.904609,89.674,0.000848968
0,0.0259734,0.0703348,3144.3,2434.53,265.266,-32.3207,4.70756,4.29252,-0.337624,-1,0.911835,-87.6897,0.000787115
0,0.0258869,0.0729332,3019.51,1823.07,264.836,-32.3388,4.62613,4.19666,-0.336473,-1,0.907163,87.3704,0.000781777
0,0.0260185,0.0324068,3526,2414.37,265.292,-32.0978,9.97471,9.96252,-0.328272,-1,0.998778,-1.67157,0.00470177
0,0.0282207,0.0708138,3334.09,2350.55,265.229,-32.2035,4.40377,4.40351,-0.3278,-1,0.999941,-4.8862,0.0022479
0,0.0258108,0.0534984,3057.25,2146.27,265.06,-32.3458,5.84472,4.60858,-0.327015,-1,0.788503,-63.5816,0.00121753
0,0.0257838,0.0686762,2995.95,2445.91,265.259,-32.4076,4.64934,4.2634,-0.325208,-1,0.91699,-86.4541,0.000775657
0,0.0258227,0.0639385,3564.76,1799.56,264.877,-32.0209,4.70392,4.35229,-0.315089,-1,0.925248,-78.5329,0.000720396
0,0.0258651,0.06404,2769.61,1651.96,264.692,-32.4676,4.66483,4.33611,-0.311492,-1,0.929533,-83.2791,0.000687705
0,0.0256669,0.0422818,3042.48,2271.2,265.144,-32.3654,6.79477,6.34652,-0.310809,-1,0.93403,-87.7905,0.00182796
0,0.0259029,0.0646375,2696,2614.31,265.343,-32.5954,4.6503,4.26582,-0.308865,-1,0.917323,-85.2885,0.000749867
0,0.0258832,0.0572123,3276.29,2227.99,265.139,-32.2262,4.87233,4.59673,-0.308652,-1,0.943437,-80.7158,0.000903931
0,0.0259863,0.0447684,3324.79,2595.37,265.395,-32.2302,3.39032,3.35323,-0.301324,-1,0.989058,-76.8937,0.0034918
0,0.0261041,0.0533731,2775.25,2672.42,265.391,-32.5547,3.09624,2.91499,-0.292614,-1,0.941459,-8.0975,0.00372704
0,0.0256023,0.0397811,3274.18,1767.26,264.824,-32.1864,5.98287,5.614,-0.284679,-1,0.938345,-4.78737,0.00139352
0,0.0257384,0.0232008,3365.28,2213.55,265.139,-32.1734,3.83398,3.82224,-0.273667,-1,0.996939,-76.6656,0.00333716
0,0.0260884,0.0575785,2981.08,2274.97,265.14,-32.4012,4.65944,4.1383,-0.272152,-1,0.888153,-89.5629,0.00124228
0,0.025813,0.0528396,3539.94,2515.41,265.363,-32.0985,4.72893,4.33253,-0.266068,-1,0.916175,-89.1233,0.000637844
0,0.025499,0.0215438,3450.1,2220.13,265.152,-32.1248,8.94879,8.8553,-0.265644,-1,0.989553,-84.8702,0.00216481
0,0.0256131,0.0205438,3716.53,1966.19,265.007,-31.9478,9.09003,9.07633,-0.261347,-1,0.998492,-83.2778,0.00272589
0,0.0256468,0.0304353,2873.31,1820.03,264.818,-32.423,8.95214,7.00123,-0.257111,-1,0.782073,89.7356,0.00255721
0,0.025846,0.0316472,3639.8,1663.61,264.793,-31.9651,3.71067,3.49725,-0.256846,-1,0.942485,-79.5061,0.00269158
0,0.025803,0.0478465,3422.7,2127.17,265.086,-32.1325,5.10705,4.84165,-0.253755,-1,0.948032,55.659,0.000763393
0,0.0259986,0.0350419,3227.54,2521.47,265.334,-32.2801,3.62564,3.21949,-0.253208,-1,0.88798,-7.57206,0.00303899
0,0.0252629,0.0188265,2664.05,1888.27,264.842,-32.5499,10.1192,5.59935,-0.252879,-1,0.553341,-73.5467,0.00159155
0,0.0256509,0.0300612,3101.33,2488.26,265.299,-32.3503,7.79191,5.99266,-0.251382,-1,0.769087,-88.9111,0.00187943
0,0.0257151,0.033068,2835.72,2277.93,265.127,-32.4854,3.50537,3.16535,-0.247756,-1,0.902999,-77.4231,0.00288707
0,0.0257456,0.0337311,2802.71,2337.61,265.164,-32.5098,4.02005,3.74308,-0.247135,-1,0.931103,-83.5913,0.0023262
0,0.0260491,0.0429383,3298.64,2075.98,265.038,-32.1999,3.17402,2.8928,-0.244648,-1,0.9114,3.05378,0.0026711
0,0.0256806,0.0406365,3561.97,2083.18,265.07,-32.0479,5.29209,4.50958,-0.242019,-1,0.852135,60.6753,0.000612958
0,0.0257914,0.0345918,2690.65,2025.84,264.939,-32.5469,3.72815,3.37095,-0.238621,-1,0.904189,-77.2927,0.00257697
0,0.0256968,0.0478251,3359.02,1882.61,264.912,-32.1476,4.45573,4.45176,-0.236787,-1,0.999108,-7.47857,0.000641213
