Ch.,B,A,x0,y0,Ra,Dec,FWHMx,FWHMy,Mag,Beta,r,Angle,RMSE
0,0.0257458,0.0301846,3576.17,1835.62,264.903,-32.0176,3.28716,3.1935,-0.162517,-1,0.971506,-7.3472,0.0015079
0,0.0256673,0.0304637,2680.87,2506.84,265.268,-32.5949,5.08327,3.98976,-0.159974,-1,0.784879,88.8907,0.000465852
0,0.0256285,0.0244178,3024.32,2221.04,265.108,-32.3714,6.14204,5.0666,-0.157871,-1,0.824905,86.807,0.000660676
0,0.0256418,0.0268718,3644.18,2550.95,265.398,-32.0411,3.75084,3.74446,-0.154876,-1,0.998298,-18.9949,0.00104005
0,0.025739,0.0304373,3373.14,2196.5,265.128,-32.1674,4.55384,4.52689,-0.154391,-1,0.994082,9.46603,0.000477693
0,0.0257076,0.0299735,3445.51,2024.04,265.018,-32.1102,4.82648,4.06515,-0.15258,-1,0.842259,82.7821,0.000425127
0,0.0256398,0.0227762,2846.73,1817.55,264.813,-32.4381,3.9163,3.67258,-0.150218,-1,0.937766,-74.7944,0.00139063
0,0.0256054,0.0297416,2646.67,1959.97,264.89,-32.5663,4.8406,3.99356,-0.150096,-1,0.825014,83.9709,0.000389946
0,0.0255289,0.0160065,2667.64,2006.57,264.924,-32.5584,8.1045,7.66242,-0.14961,-1,0.945453,-8.75326,0.00149899
0,0.0257342,0.02013,3228.64,2255.66,265.153,-32.2563,7.37212,7.26529,-0.148825,-1,0.985509,-8.2813,0.00160687
0,0.0256591,0.0296282,3115.74,1858.6,264.87,-32.2863,4.62042,4.16615,-0.148623,-1,0.901681,82.4691,0.000385723
0,0.0254758,0.0109807,2873.21,1820.16,264.818,-32.423,10.2173,7.8685,-0.147774,-1,0.770113,-20.4098,0.00142838
0,0.0255666,0.0161164,2898.05,2678.79,265.408,-32.4843,3.34667,3.19281,-0.146387,-1,0.954026,-77.6647,0.00181287
0,0.0255408,0.0111565,3677.5,2759.15,265.543,-32.0396,9.10441,9.03722,-0.146025,-1,0.99262,-89.0794,0.00150716
0,0.0256282,0.0269176,2771.65,2055.49,264.968,-32.5028,5.02126,4.13048,-0.145349,-1,0.822597,89.7134,0.000358376
0,0.0256301,0.0274994,3301.66,2441.55,265.288,-32.2302,4.89642,4.11997,-0.144733,-1,0.841426,89.7371,0.000354714
0,0.0257517,0.0291581,2757.76,1754.85,264.761,-32.4838,4.66583,3.98076,-0.141314,-1,0.853172,86.384,0.000659803
0,0.0256861,0.0263816,2863.57,2356.65,265.184,-32.4763,4.87686,4.0472,-0.136108,-1,0.829879,86.9879,0.000347515
0,0.0256863,0.0270199,3220.97,1946.86,264.941,-32.2333,4.84933,3.95869,-0.135764,-1,0.816338,82.7891,0.00036698
0,0.0259482,0.0279784,3639.04,1672.81,264.799,-31.9664,4.76817,3.77147,-0.132374,-1,0.790969,85.4744,0.00208036
0,0.0255119,0.00977504,3477.11,1729.1,264.82,-32.0654,9.14651,9.04972,-0.130036,-1,0.989417,-87.0344,0.00111552
0,0.0255628,0.01814,3676.21,2554.02,265.403,-32.0228,6.96502,5.44858,-0.129204,-1,0.782278,-84.3116,0.000677816
0,0.0255763,0.0249812,3267.86,1731.76,264.8,-32.1869,4.76806,4.11533,-0.129004,-1,0.863104,89.8259,0.000407112
0,0.0256525,0.0252304,3539.88,2515.27,265.363,-32.0985,4.71569,4.00755,-0.125294,-1,0.849833,89.1288,0.000366559
0,0.0256146,0.0232886,3520.72,1805.49,264.877,-32.047,4.93843,4.08859,-0.123695,-1,0.827913,-89.9946,0.000332943
0,0.0256822,0.0242937,3482.06,2202.15,265.143,-32.1047,4.02776,3.92388,-0.123276,-1,0.974209,88.7959,0.000533375
0,0.0255832,0.012908,2925.1,2467.79,265.266,-32.4504,3.61795,3.5089,-0.123163,-1,0.969857,-72.5319,0.00149536
0,0.025657,0.0248028,3070.99,2507.86,265.309,-32.3695,4.8108,3.89756,-0.122459,-1,0.810167,84.5575,0.000355561
0,0.0254838,0.0129651,2855.36,1720.08,264.748,-32.4243,7.75355,7.05828,-0.119854,-1,0.910328,-5.34055,0.00099924
0,0.0256751,0.0242681,3195.89,1887.5,264.898,-32.2425,4.32107,4.32047,-0.1195,-1,0.999861,36.939,0.000418585
